<<<<<<< HEAD
a,b,c,d,classe,posicaoOriginal
5.6,3.0,4.1,1.3,1.0,82.0
5.0,3.4,1.6,0.4,0.0,26.0
6.7,3.0,5.0,1.7,1.0,67.0
6.4,3.2,4.5,1.5,1.0,41.0
6.1,2.8,4.7,1.2,1.0,63.0
5.4,3.7,1.5,0.2,0.0,10.0
6.3,3.3,4.7,1.6,1.0,46.0
4.3,3.0,1.1,0.1,0.0,13.0
=======
duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate, dst_host_srv_serror_rate, dst_host_rerror_rate, dst_host_srv_rerror_rate, classe,posicaoOriginal
1,tcp,smtp,SF,1013,328,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,203,146,0.52,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0,1636.0
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13,1,0.08,1.0,0.08,0.0,0.0,0.0,0.85,1.0,1,14781.0
0,tcp,http,SF,327,1357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,54,0.0,0.0,0.0,0.0,1.0,0.0,0.07,148,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0,12642.0
4,tcp,name,RSTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,0.0,0.0,1.0,1.0,0.04,0.55,0.0,255,2,0.01,0.12,0.21,0.0,0.0,0.0,0.85,1.0,1,5127.0
0,tcp,telnet,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,7,1.0,1.0,0.0,0.0,0.03,0.06,0.0,255,7,0.03,0.07,0.0,0.0,1.0,1.0,0.0,0.0,1,4168.0
0,tcp,http,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,11,0.0,0.0,1.0,1.0,0.05,0.07,0.0,255,11,0.04,0.08,0.0,0.0,0.0,0.0,1.0,1.0,1,8413.0
0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,2,1.0,1.0,0.0,0.0,0.02,0.07,0.0,255,17,0.07,0.09,0.0,0.0,1.0,1.0,0.0,0.0,1,15692.0
0,udp,other,SF,516,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,417,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5068.0
0,tcp,http,SF,266,1963,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31,255,1.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0,22970.0
0,tcp,netbios_ns,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,16,0.0,0.0,1.0,1.0,0.11,0.06,0.0,255,8,0.03,0.07,0.0,0.0,0.0,0.0,1.0,1.0,1,7823.0
0,tcp,http,SF,302,2748,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,38,0.0,0.0,0.0,0.0,1.0,0.0,0.05,227,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0,15294.0
