service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
eco_i,SF,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1,2443.0
eco_i,SF,8,0,0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,1,74773.0
eco_i,SF,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1,98818.0
http,SF,210,1048,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0,112001.0
http,SF,235,512,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,93625.0
eco_i,SF,8,0,0,0.0,0.0,1.0,0.0,0.52,0.0,0.0,1,113732.0
http,SF,209,1320,1,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,27177.0
kshell,S0,0,0,0,1.0,1.0,0.13,0.06,0.0,1.0,1.0,1,102673.0
auth,S0,0,0,0,1.0,1.0,0.02,0.06,0.0,1.0,1.0,1,84702.0
domain_u,SF,44,76,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,104494.0
eco_i,SF,8,0,0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1,86942.0
domain_u,SF,45,120,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,19325.0
domain_u,SF,46,71,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,62360.0
private,S0,0,0,0,1.0,1.0,0.05,0.05,0.0,1.0,1.0,1,63187.0
http,SF,321,238,1,0.0,0.0,1.0,0.0,0.06,0.0,0.0,0,72301.0
http,SF,322,258,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,45423.0
netbios_ssn,REJ,0,0,0,0.0,0.0,0.02,0.07,0.0,0.0,0.0,1,102493.0
http,SF,519,9166,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,6875.0
domain_u,SF,45,81,0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0,106706.0
telnet,S0,0,0,0,1.0,1.0,0.15,0.06,0.0,1.0,1.0,1,95940.0
private,S0,0,0,0,1.0,1.0,0.07,0.11,0.0,1.0,1.0,1,37920.0
telnet,S0,0,0,0,1.0,1.0,0.0,0.07,0.0,1.0,1.0,1,58360.0
private,REJ,0,0,0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,1,10549.0
finger,S0,0,0,0,1.0,1.0,0.25,0.25,0.0,1.0,1.0,1,83186.0
echo,S0,0,0,0,1.0,1.0,0.05,0.07,0.0,1.0,1.0,1,40236.0
ftp_data,SF,12241,0,1,0.0,0.0,1.0,0.0,0.05,0.01,0.05,0,70540.0
other,SF,147,105,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,55876.0
netbios_ns,REJ,0,0,0,0.0,0.0,0.04,0.06,0.0,0.0,0.0,1,115073.0
telnet,SF,156,57238,1,0.0,0.0,1.0,0.0,0.0,0.41,0.16,0,6572.0
other,SF,145,105,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,62749.0
http,SF,236,357,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,26024.0
ftp_data,SF,383,0,1,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0,45362.0
sql_net,S0,0,0,0,1.0,1.0,0.04,0.08,0.0,1.0,1.0,1,110585.0
ftp_data,S0,0,0,0,1.0,1.0,0.02,0.06,0.0,1.0,1.0,1,31861.0
http,SF,352,1398,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,82420.0
sql_net,S0,0,0,0,1.0,1.0,0.07,0.06,0.0,1.0,1.0,1,115856.0
domain_u,SF,44,133,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,12844.0
http,SF,321,2431,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,89216.0
csnet_ns,REJ,0,0,0,0.0,0.0,0.1,0.06,0.0,0.0,0.0,1,121537.0
eco_i,SF,8,0,0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,1,46490.0
domain_u,SF,45,134,0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0,73850.0
http,SF,209,1155,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,6347.0
ftp_data,SF,3468,0,0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0,69975.0
