service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
private,S0,0,0,0,0,273,1.0,1.0,0.07,0.06,0.0,255,1,0.0,0.07,0.0,1.0,1.0,0.0,1,3302.0
ecr_i,SF,1032,0,0,0,509,0.0,0.0,1.0,0.0,0.0,255,204,0.8,0.13,0.0,0.0,0.0,0.0,1,124875.0
time,RSTO,0,0,0,0,288,0.0,0.0,0.07,0.06,0.0,255,20,0.08,0.07,0.0,0.0,0.0,1.0,1,70313.0
http,SF,252,3727,0,1,7,0.0,0.0,1.0,0.0,0.0,28,255,1.0,0.0,0.04,0.0,0.0,0.0,0,119495.0
http,SF,217,11588,0,1,4,0.0,0.0,1.0,0.0,0.38,10,255,1.0,0.0,0.06,0.0,0.01,0.0,0,53538.0
http,SF,317,2099,0,1,1,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,50158.0
http,SF,299,8186,0,1,4,0.0,0.0,1.0,0.0,0.18,4,255,1.0,0.0,0.03,0.0,0.0,0.0,0,83359.0
http,SF,296,3751,0,1,2,0.0,0.0,1.0,0.0,0.19,23,255,1.0,0.0,0.06,0.0,0.0,0.0,0,12491.0
Z39_50,REJ,0,0,0,0,194,0.0,0.0,0.07,0.07,0.0,255,14,0.05,0.07,0.0,0.0,0.0,1.0,1,89286.0
private,SF,1,0,0,0,16,0.0,0.0,0.5,0.19,0.0,255,8,0.03,0.3,0.0,0.0,0.0,0.0,1,19834.0
eco_i,SF,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,197,1.0,0.0,0.5,0.0,0.0,0.0,1,121528.0
http,REJ,0,0,0,0,147,0.0,0.0,0.03,0.06,0.0,255,2,0.01,0.07,0.0,0.0,0.0,1.0,1,55435.0
private,SF,105,147,0,0,2,0.0,0.0,0.5,1.0,0.0,255,231,0.91,0.01,0.0,0.0,0.0,0.0,0,124517.0
http,REJ,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,35,48,1.0,0.0,0.12,0.0,0.0,1.0,0,46982.0
vmnet,S0,0,0,0,0,241,1.0,1.0,0.01,0.05,0.0,255,2,0.01,0.05,0.0,1.0,1.0,0.0,1,12821.0
csnet_ns,REJ,0,0,0,0,238,0.0,0.0,0.03,0.07,0.0,255,7,0.03,0.07,0.0,0.0,0.0,1.0,1,85973.0
private,SF,28,0,3,0,122,0.82,0.0,0.18,0.06,0.0,255,22,0.09,0.92,0.0,0.09,0.0,0.0,1,114770.0
private,S0,0,0,0,0,237,1.0,1.0,0.09,0.06,0.0,255,21,0.08,0.07,0.0,1.0,1.0,0.0,1,111695.0
domain_u,SF,44,77,0,0,216,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,102845.0
http,SF,199,940,0,1,5,0.0,0.0,1.0,0.0,0.0,6,255,1.0,0.0,0.03,0.0,0.0,0.0,0,107335.0
private,SF,105,146,0,0,2,0.0,0.0,1.0,0.0,0.0,255,227,0.89,0.01,0.0,0.0,0.0,0.0,0,49821.0
http,SF,293,3887,0,1,2,0.0,0.0,1.0,0.0,0.0,2,255,1.0,0.0,0.01,0.0,0.0,0.0,0,96134.0
http,SF,236,1610,0,1,17,0.0,0.0,1.0,0.0,0.08,45,255,1.0,0.0,0.02,0.0,0.0,0.0,0,91415.0
eco_i,SF,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,157,1.0,0.0,0.5,0.0,0.0,0.0,1,25007.0
http,SF,251,10880,0,1,9,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,17652.0
http,SF,301,7177,0,1,10,0.0,0.0,1.0,0.0,0.21,52,255,1.0,0.0,0.02,0.0,0.01,0.01,0,100330.0
domain_u,SF,44,73,0,0,152,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0,23469.0
http,SF,316,1247,0,1,8,0.0,0.0,1.0,0.0,0.0,9,255,1.0,0.0,0.16,0.0,0.0,0.95,0,89799.0
http,SF,192,318,0,1,2,0.0,0.0,1.0,0.0,0.5,75,255,1.0,0.0,0.04,0.0,0.0,0.0,0,43837.0
domain_u,SF,42,42,0,0,176,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,2024.0
private,S0,0,0,0,0,123,1.0,1.0,0.01,0.05,0.0,255,1,0.0,0.05,0.0,1.0,1.0,0.0,1,114877.0
private,S0,0,0,0,0,177,1.0,1.0,0.01,0.07,0.0,23,2,0.09,0.26,0.0,0.39,1.0,0.0,1,3295.0
http,SF,195,557,0,1,2,0.0,0.0,1.0,0.0,0.33,255,255,1.0,0.0,0.0,0.0,0.0,0.01,0,26507.0
http,SF,306,1904,0,1,13,0.0,0.0,1.0,0.0,0.0,81,255,1.0,0.0,0.02,0.0,0.0,0.0,0,12314.0
efs,S0,0,0,0,0,134,1.0,1.0,0.01,0.06,0.0,255,1,0.0,0.07,0.0,1.0,1.0,0.0,1,56936.0
klogin,S0,0,0,0,0,114,1.0,1.0,0.15,0.07,0.0,255,6,0.02,0.08,0.0,1.0,1.0,0.0,1,17264.0
http,SF,220,190,0,1,10,0.0,0.0,1.0,0.0,0.06,27,255,1.0,0.0,0.02,0.0,0.0,0.0,0,41522.0
ftp_data,SF,59,0,0,1,23,0.0,0.0,1.0,0.0,0.0,255,98,0.38,0.01,0.0,0.0,0.0,0.0,0,115519.0
smtp,SF,1515,334,0,1,1,0.0,0.0,1.0,0.0,0.0,105,186,0.83,0.03,0.01,0.0,0.0,0.0,0,115647.0
private,S0,0,0,0,0,210,1.0,1.0,0.1,0.06,0.0,255,28,0.11,0.06,0.0,1.0,1.0,0.0,1,123311.0
