service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
http,SF,282,272,0,1,15,0.0,0.0,1.0,0.0,0.11,68,255,1.0,0.0,0.04,0.0,0.0,0.0,0,50942.0
http,SF,198,6924,0,1,12,0.0,0.0,1.0,0.0,0.0,230,255,1.0,0.0,0.01,0.0,0.0,0.01,0,262.0
other,RSTR,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.72,0.0,0.0,0.0,1.0,1,103025.0
http,SF,160,497,0,1,2,0.5,0.5,1.0,0.0,0.0,33,255,1.0,0.0,0.01,0.06,0.01,0.0,0,104170.0
private,S0,0,0,0,0,159,0.83,1.0,0.01,0.06,0.0,255,18,0.07,0.06,0.0,1.0,1.0,0.0,1,83654.0
private,S0,0,0,0,0,276,1.0,1.0,0.0,0.06,0.0,255,6,0.02,0.07,0.0,1.0,1.0,0.0,1,108529.0
efs,S0,0,0,0,0,148,1.0,1.0,0.07,0.05,0.0,255,11,0.04,0.06,0.0,1.0,1.0,0.0,1,75161.0
other,SF,35195,0,0,1,24,0.04,0.0,0.04,0.46,0.0,176,1,0.01,0.08,0.0,0.01,0.0,0.0,0,18163.0
http,S0,0,0,0,0,252,1.0,1.0,0.02,0.07,0.0,255,4,0.02,0.08,0.0,1.0,1.0,0.0,1,79744.0
http,SF,377,342,0,1,3,0.0,0.0,1.0,0.0,0.1,158,255,1.0,0.0,0.02,0.0,0.0,0.0,0,76292.0
private,RSTR,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.73,0.0,0.0,0.0,1.0,1,52353.0
smtp,SF,987,334,0,1,1,0.0,0.0,1.0,0.0,0.0,206,132,0.53,0.03,0.02,0.0,0.0,0.0,0,48228.0
http,REJ,0,0,0,0,10,0.0,0.0,1.0,0.0,0.0,25,105,1.0,0.0,0.19,0.0,0.0,0.96,0,14360.0
eco_i,SF,8,0,0,0,1,0.0,0.0,1.0,0.0,1.0,2,78,1.0,0.0,0.26,0.0,0.0,0.0,1,21532.0
http,SF,298,626,0,1,9,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,28621.0
http,SF,259,1652,0,1,3,0.0,0.0,1.0,0.0,0.5,7,255,1.0,0.0,0.01,0.0,0.0,0.0,0,73311.0
http,SF,266,359,0,1,1,0.0,0.0,1.0,0.0,1.0,52,255,1.0,0.0,0.04,0.0,0.0,0.0,0,52797.0
domain_u,SF,43,75,0,0,211,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,79309.0
other,SF,4892,0,0,1,17,0.06,0.0,0.06,0.24,0.0,119,1,0.01,0.06,0.0,0.02,0.0,0.0,0,60534.0
http,SF,350,3874,0,1,12,0.0,0.0,1.0,0.0,0.0,65,248,1.0,0.0,0.03,0.0,0.0,0.0,0,30973.0
discard,RSTO,0,0,0,0,135,0.0,0.0,0.15,0.06,0.0,255,20,0.08,0.07,0.0,0.0,0.0,1.0,1,67790.0
eco_i,SF,18,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1,135,1.0,0.0,1.0,0.0,0.0,0.0,1,103829.0
http,SF,247,365,0,1,9,0.0,0.0,1.0,0.0,0.2,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0,56106.0
private,RSTO,0,0,0,0,298,0.0,0.0,0.07,0.06,0.0,255,20,0.08,0.07,0.0,0.0,0.0,1.0,1,53757.0
smtp,SF,1122,334,0,1,1,0.0,0.0,1.0,0.0,0.0,102,79,0.77,0.04,0.0,0.0,0.0,0.0,0,46304.0
private,S0,0,0,0,0,186,1.0,1.0,0.02,0.06,0.0,47,2,0.04,0.19,0.0,0.7,1.0,0.0,1,7866.0
http,RSTR,54540,8314,0,1,2,0.0,0.0,1.0,0.0,0.67,255,255,1.0,0.0,0.0,0.0,0.0,0.04,1,96100.0
http,SF,302,2307,0,1,2,0.0,0.0,1.0,0.0,0.3,99,255,1.0,0.0,0.03,0.01,0.01,0.0,0,96532.0
finger,RSTO,0,0,0,0,243,0.0,0.0,0.08,0.07,0.0,255,19,0.07,0.07,0.0,0.0,0.0,1.0,1,61131.0
supdup,S0,0,0,0,0,99,1.0,1.0,0.01,0.09,0.0,255,1,0.0,0.08,0.0,1.0,1.0,0.0,1,3675.0
http,SF,211,43148,0,1,3,0.0,0.0,1.0,0.0,0.27,180,255,1.0,0.0,0.02,0.01,0.0,0.0,0,60151.0
smtp,SF,2673,339,0,1,1,0.0,0.0,1.0,0.0,0.0,255,118,0.46,0.02,0.0,0.0,0.0,0.0,0,78138.0
