service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
smtp,SF,1161,281,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,82979.0
http,SF,213,122,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,22587.0
netbios_ns,S0,0,0,0,1.0,1.0,0.08,0.05,0.0,1.0,1.0,1,92680.0
http,REJ,0,0,0,0.0,0.0,1.0,0.0,0.15,0.0,0.0,0,124678.0
http,SF,243,13335,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,114099.0
http,SF,227,20791,1,0.25,0.25,1.0,0.0,0.06,0.25,0.01,0,18239.0
private,RSTR,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,26886.0
private,RSTOS0,0,0,0,0.68,0.5,0.01,0.39,0.0,0.45,0.5,1,27006.0
IRC,RSTR,1033,8573,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,41710.0
http,SF,210,259,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,37575.0
private,S0,0,0,0,1.0,1.0,0.06,0.06,0.0,1.0,1.0,1,34379.0
domain_u,SF,34,34,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,58194.0
http,SF,277,2941,1,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0,113752.0
private,S0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,74836.0
http,SF,307,2698,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,116135.0
domain_u,SF,43,107,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,42857.0
domain_u,SF,44,74,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,31491.0
http,SF,54540,8314,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,32132.0
private,SF,1,0,0,0.0,0.0,0.43,0.29,0.0,0.03,0.0,1,79117.0
domain_u,SF,45,81,0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0,104076.0
other,SF,1,0,0,0.0,0.0,0.09,0.73,0.0,0.0,0.0,1,3970.0
