service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
24,10,209.0,2482.0,1.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,116791.0
18,10,7.0,141.0,0.0,0.0,0.0,1.0,0.0,0.27,0.0,0.09,0.0,75574.0
24,10,7328.0,7670.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,78596.0
24,10,333.0,5241.0,1.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,31745.0
24,10,189.0,1274.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,71072.0
47,10,105.0,146.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,57976.0
47,11,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.93,1.0,0.0,124320.0
12,10,43.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66273.0
47,6,0.0,0.0,0.0,1.0,1.0,0.06,0.06,0.0,1.0,1.0,0.0,21262.0
11,6,0.0,0.0,0.0,1.0,1.0,0.04,0.05,0.0,1.0,1.0,0.0,25973.0
24,10,401.0,9852.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85454.0
51,10,2243.0,333.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,112615.0
20,10,334.0,0.0,1.0,0.0,0.0,1.0,0.0,0.12,0.0,0.0,0.0,104594.0
12,10,46.0,129.0,0.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,45021.0
23,6,0.0,0.0,0.0,1.0,1.0,0.07,0.05,0.0,1.0,1.0,0.0,56635.0
51,10,1236.0,393.0,1.0,0.0,0.0,1.0,0.0,0.01,0.03,0.0,0.0,60579.0
43,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59260.0
24,10,332.0,1451.0,1.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,76754.0
24,10,54540.0,8314.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,94547.0
24,10,302.0,15977.0,1.0,0.0,0.0,1.0,0.0,0.0,0.01,0.01,0.0,40265.0
12,10,44.0,113.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54388.0
51,10,561.0,280.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,116919.0
18,6,0.0,0.0,0.0,1.0,1.0,0.09,0.07,0.0,1.0,1.0,0.0,25009.0
47,10,1.0,0.0,0.0,0.0,0.0,0.76,0.1,0.0,0.05,0.0,0.0,48942.0
12,10,43.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,119025.0
60,10,78.0,0.0,0.0,0.0,0.0,0.17,0.33,0.0,0.0,0.0,0.0,2643.0
24,6,0.0,0.0,0.0,1.0,1.0,0.07,0.06,0.0,1.0,1.0,0.0,36882.0
47,6,0.0,0.0,0.0,1.0,1.0,0.13,0.05,0.0,1.0,1.0,0.0,82857.0
43,10,147.0,105.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,123751.0
43,10,145.0,105.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17035.0
12,10,45.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,123966.0
13,6,0.0,0.0,0.0,1.0,1.0,0.02,0.06,0.0,1.0,1.0,0.0,82231.0
24,10,294.0,3521.0,1.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,115930.0
14,10,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.51,0.0,0.0,0.0,44983.0
57,6,0.0,0.0,0.0,1.0,1.0,0.1,0.05,0.0,1.0,1.0,0.0,105664.0
24,10,235.0,747.0,1.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,21383.0
20,10,245.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,78526.0
14,10,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.26,0.0,0.0,0.0,51409.0
12,10,45.0,137.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,7979.0
43,2,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.06,0.0,0.0,73079.0
24,6,0.0,0.0,0.0,1.0,1.0,0.04,0.06,0.0,1.0,1.0,0.0,14806.0
47,10,215.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83049.0
20,10,748.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,118328.0
13,6,0.0,0.0,0.0,1.0,1.0,0.08,0.05,0.0,1.0,1.0,0.0,25530.0
24,10,344.0,1247.0,1.0,0.0,0.0,1.0,0.0,0.04,0.01,0.0,0.0,102093.0
47,6,0.0,0.0,0.0,1.0,1.0,0.05,0.06,0.0,1.0,1.0,0.0,124680.0
14,10,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,73630.0
12,10,49.0,115.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51874.0
24,10,252.0,11335.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,113432.0
29,6,0.0,0.0,0.0,1.0,1.0,0.05,0.06,0.0,1.0,1.0,0.0,110163.0
24,10,355.0,1091.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,16072.0
47,6,0.0,0.0,0.0,1.0,1.0,0.12,0.06,0.0,1.0,1.0,0.0,39582.0
55,6,0.0,0.0,0.0,1.0,1.0,0.03,0.05,0.0,1.0,1.0,0.0,26912.0
18,10,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29,0.0,0.0,0.0,95241.0
10,3,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,69425.0
15,10,1032.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40336.0
25,6,0.0,0.0,0.0,1.0,1.0,0.08,0.05,0.0,1.0,1.0,0.0,6814.0
12,10,44.0,115.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91114.0
20,10,319.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03,0.0,0.0,0.0,29542.0
24,10,295.0,4123.0,1.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,64376.0
47,6,0.0,0.0,0.0,1.0,1.0,0.03,0.07,0.0,1.0,1.0,0.0,113699.0
24,10,301.0,3222.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57485.0
