duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,hot,logged_in,num_compromised,su_attempted,num_root,num_access_files,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
0,icmp,ecr_i,SF,520,0,0,0,0,0,0,0,0,458,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52,52,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2583.0
0,tcp,private,S0,0,0,0,0,0,0,0,0,0,59,1.0,1.0,0.0,0.0,0.1,0.1,0.0,255,6,0.02,0.08,0.0,0.0,1.0,1.0,0.0,1,108324.0
0,tcp,ftp_data,SF,334,0,0,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,34,1.0,0.0,1.0,0.12,0.0,0.0,0.0,1,121179.0
10,tcp,private,RSTR,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,1,0.0,0.48,0.47,0.0,0.0,0.0,1.0,1,1057.0
0,udp,other,SF,1,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.25,0.71,0.0,0.0,0.0,0.0,1,1283.0
0,tcp,login,S0,0,0,0,0,0,0,0,0,0,95,1.0,1.0,0.0,0.0,0.21,0.05,0.0,255,20,0.08,0.07,0.0,0.0,1.0,1.0,0.0,1,20842.0
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10,1,0.1,1.0,0.1,0.0,0.0,0.0,1.0,1,86551.0
0,tcp,http,SF,186,1220,0,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36,255,1.0,0.0,0.03,0.04,0.0,0.0,0.0,0,109977.0
0,tcp,courier,REJ,0,0,0,0,0,0,0,0,0,111,0.0,0.0,1.0,1.0,0.11,0.06,0.0,255,12,0.05,0.06,0.0,0.0,0.0,0.0,1.0,1,22836.0
0,tcp,smtp,SF,549,330,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,209,147,0.49,0.02,0.0,0.01,0.0,0.01,0.0,0,122807.0
0,tcp,smtp,SF,2323,332,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,142,112,0.54,0.04,0.01,0.02,0.0,0.0,0.0,0,56557.0
0,tcp,private,S0,0,0,0,0,0,0,0,0,0,279,1.0,1.0,0.0,0.0,0.07,0.06,0.0,255,20,0.08,0.07,0.0,0.0,1.0,1.0,0.0,1,4464.0
0,tcp,private,S0,0,0,0,0,0,0,0,0,0,234,1.0,1.0,0.0,0.0,0.01,0.06,0.0,255,5,0.02,0.08,0.0,0.0,1.0,1.0,0.0,1,72993.0
0,tcp,http,REJ,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,7,1.0,0.0,1.0,0.57,0.0,0.0,1.0,0,118874.0
0,udp,domain_u,SF,46,46,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,1.0,0.0,0.22,138,134,0.97,0.01,0.01,0.0,0.0,0.0,0.0,0,34487.0
0,tcp,http,SF,328,1444,0,0,1,0,0,0,0,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41,209,1.0,0.0,0.02,0.11,0.0,0.0,0.0,0,24881.0
0,tcp,http,SF,308,508,0,0,1,0,0,0,0,19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,250,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0,52994.0
0,icmp,ecr_i,SF,520,0,0,0,0,0,0,0,0,140,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,64270.0
0,tcp,http,SF,346,349,0,0,1,0,0,0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,71353.0
0,tcp,private,S0,0,0,0,0,0,0,0,0,0,110,1.0,1.0,0.0,0.0,0.03,0.06,0.0,255,18,0.07,0.07,0.0,0.0,1.0,1.0,0.0,1,62346.0
0,tcp,nnsp,S0,0,0,0,0,0,0,0,0,0,138,1.0,1.0,0.0,0.0,0.12,0.06,0.0,255,16,0.06,0.06,0.0,0.0,1.0,1.0,0.0,1,23932.0
0,tcp,http,SF,197,5467,0,0,1,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.33,84,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0,81101.0
0,udp,domain_u,SF,44,130,0,0,0,0,0,0,0,56,0.0,0.0,0.0,0.0,1.0,0.0,0.02,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0,51752.0
0,udp,domain_u,SF,43,109,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.5,1.0,0.0,19,226,0.47,0.16,0.05,0.01,0.0,0.0,0.0,0,4304.0
0,udp,domain_u,SF,46,119,0,0,0,0,0,0,0,106,0.0,0.0,0.0,0.0,1.0,0.0,0.02,255,227,0.89,0.01,0.0,0.0,0.0,0.0,0.0,0,49521.0
0,tcp,domain,S0,0,0,0,0,0,0,0,0,0,300,1.0,1.0,0.0,0.0,0.05,0.06,0.0,255,14,0.05,0.06,0.0,0.0,1.0,1.0,0.0,1,105727.0
5126,udp,other,SF,146,105,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201,3,0.01,0.53,0.85,0.0,0.0,0.0,0.0,0,100485.0
0,tcp,csnet_ns,REJ,0,0,0,0,0,0,0,0,0,259,0.0,0.0,1.0,1.0,0.07,0.06,0.0,255,18,0.07,0.07,0.0,0.0,0.0,0.0,1.0,1,32517.0
0,tcp,http,SF,294,1721,0,0,1,0,0,0,0,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,71066.0
0,udp,private,SF,105,145,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.25,0.5,0.0,255,243,0.95,0.01,0.01,0.0,0.0,0.0,0.0,0,67617.0
0,tcp,smtp,SF,1029,386,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,99,0.39,0.24,0.0,0.0,0.24,0.0,0.0,0,109590.0
0,icmp,eco_i,SF,8,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,177,1.0,0.0,1.0,0.25,0.0,0.0,0.0,1,103088.0
781,udp,other,SF,146,105,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,2,0.01,0.66,0.97,0.0,0.0,0.0,0.0,0,120482.0
0,tcp,efs,S0,0,0,0,0,0,0,0,0,0,117,1.0,1.0,0.0,0.0,0.02,0.07,0.0,255,2,0.01,0.06,0.0,0.0,1.0,1.0,0.0,1,16519.0
