service,flag,src_bytes,dst_bytes,wrong_fragment,logged_in,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
11.0,9.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.67,191.0,18.0,0.07,0.03,0.11,0.01,0.0,0.0,0.0,31760.0
23.0,9.0,211.0,124.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.29,16.0,255.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,78960.0
23.0,9.0,289.0,4672.0,0.0,1.0,23.0,0.0,0.0,1.0,0.0,0.14,23.0,255.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,114984.0
11.0,9.0,44.0,131.0,0.0,0.0,78.0,0.0,0.0,1.0,0.0,0.01,192.0,161.0,0.84,0.01,0.0,0.0,0.0,0.0,0.0,49514.0
41.0,9.0,146.0,105.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,255.0,1.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,45525.0
40.0,9.0,48.0,48.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,24.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120634.0
50.0,9.0,2089.0,335.0,0.0,1.0,2.0,0.0,0.0,0.5,1.0,1.0,255.0,152.0,0.6,0.03,0.0,0.01,0.02,0.01,0.0,111.0
23.0,9.0,227.0,1255.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.67,3.0,255.0,1.0,0.0,0.07,0.0,0.0,0.0,0.0,73089.0
23.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,55.0,1.0,0.0,0.31,0.0,0.0,1.0,0.0,16482.0
23.0,9.0,413.0,8801.0,0.0,1.0,17.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13352.0
23.0,9.0,203.0,3438.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,8.0,147.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,51406.0
18.0,9.0,1062.0,3081.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,210.0,42.0,0.2,0.02,0.0,0.0,0.0,0.0,0.0,93130.0
23.0,9.0,307.0,1075.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,76.0,66.0,0.87,0.04,0.0,0.01,0.0,0.0,0.0,27356.0
23.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,255.0,1.0,0.0,0.12,0.0,0.0,0.97,0.0,60968.0
50.0,9.0,772.0,327.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,87.0,132.0,0.43,0.03,0.02,0.0,0.0,0.0,0.0,34824.0
23.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,55.0,255.0,1.0,0.0,0.11,0.0,0.0,0.91,0.0,80730.0
23.0,9.0,405.0,10219.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,70.0,245.0,1.0,0.0,0.19,0.0,0.0,0.76,0.0,102103.0
11.0,9.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,92.0,9.0,0.1,0.08,0.0,0.0,0.0,0.0,0.0,24852.0
19.0,9.0,201.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,52.0,34.0,0.65,0.08,0.0,0.0,0.0,0.0,0.0,72694.0
23.0,9.0,235.0,314.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.02,0.0,94341.0
23.0,9.0,310.0,1534.0,0.0,1.0,19.0,0.0,0.0,1.0,0.0,0.05,19.0,255.0,1.0,0.0,0.04,0.0,0.01,0.0,0.0,113381.0
23.0,9.0,230.0,1285.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,35.0,255.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,36740.0
23.0,9.0,305.0,1380.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,20.0,17.0,0.85,0.1,0.0,0.0,0.0,0.0,0.0,18806.0
23.0,9.0,218.0,2459.0,0.0,1.0,18.0,0.0,0.0,1.0,0.0,0.25,39.0,255.0,1.0,0.0,0.02,0.0,0.01,0.03,0.0,67727.0
19.0,9.0,12.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.67,17.0,98.0,0.35,0.35,0.03,0.0,0.0,0.0,0.0,69481.0
23.0,9.0,279.0,761.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.11,231.0,255.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,90427.0
11.0,9.0,46.0,119.0,0.0,0.0,84.0,0.0,0.0,1.0,0.0,0.03,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93152.0
23.0,9.0,223.0,413.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,173.0,255.0,1.0,0.0,0.01,0.0,0.0,0.06,0.0,39632.0
23.0,9.0,223.0,397.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,0.12,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77671.0
23.0,9.0,222.0,866.0,0.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,56.0,255.0,1.0,0.0,0.02,0.0,0.0,0.0,0.0,24205.0
23.0,9.0,283.0,1198.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,8.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,118726.0
23.0,9.0,243.0,1010.0,0.0,1.0,30.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34850.0
