service,flag,src_bytes,dst_bytes,logged_in,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,classe,posicaoOriginal
49.0,6.0,50.0,110.0,1.0,1.0,1.0,1.0,0.0,0.01,0.01,0.01,0.0,63818.0
44.0,9.0,105.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13775.0
22.0,9.0,227.0,281.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,104911.0
17.0,9.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.31,0.0,0.0,0.0,27876.0
22.0,9.0,297.0,392.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.01,0.0,116790.0
19.0,9.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,0.12,0.0,0.0,1.0,114157.0
22.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,96053.0
22.0,9.0,297.0,362.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,32759.0
55.0,9.0,87.0,225.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22397.0
19.0,9.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.93,0.0,0.0,14029.0
22.0,9.0,362.0,457.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100520.0
17.0,9.0,9.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,71182.0
22.0,9.0,337.0,420.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47131.0
17.0,9.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.02,0.1,0.0,23148.0
22.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.03,1.0,0.0,0.0,24649.0
22.0,9.0,327.0,397.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,109299.0
44.0,9.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,34098.0
13.0,9.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23504.0
22.0,9.0,306.0,378.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,65963.0
22.0,9.0,318.0,397.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,58734.0
22.0,9.0,303.0,392.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,111981.0
22.0,9.0,296.0,373.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54235.0
22.0,9.0,259.0,327.0,1.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,108849.0
3.0,9.0,13.0,38.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,78881.0
49.0,5.0,0.0,0.0,0.0,1.0,0.33,1.0,0.0,0.01,0.91,0.01,1.0,13208.0
40.0,9.0,59.0,0.0,1.0,0.08,0.0,0.08,0.58,0.0,0.02,0.0,0.0,45964.0
44.0,9.0,105.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61680.0
22.0,9.0,210.0,255.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14379.0
22.0,9.0,344.0,430.0,1.0,0.0,0.0,1.0,0.0,0.02,0.0,0.0,0.0,62332.0
22.0,9.0,218.0,276.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,58574.0
22.0,9.0,309.0,383.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19631.0
22.0,9.0,270.0,337.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,112073.0
44.0,9.0,105.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,92606.0
58.0,9.0,78.0,0.0,0.0,0.0,0.0,0.33,0.22,0.0,0.0,0.0,0.0,105898.0
22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40698.0
44.0,9.0,105.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23851.0
19.0,9.0,37.0,0.0,1.0,0.5,0.5,1.0,0.0,0.04,0.04,0.01,0.0,58832.0
58.0,9.0,132.0,0.0,0.0,0.0,0.0,0.17,0.33,0.0,0.0,0.0,0.0,4131.0
22.0,9.0,297.0,373.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,63690.0
48.0,9.0,67.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82386.0
22.0,9.0,303.0,392.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,0.0,111441.0
19.0,9.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,0.07,0.29,0.0,0.0,73393.0
22.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.04,1.0,0.03,0.0,73439.0
