duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate, dst_host_srv_serror_rate, dst_host_rerror_rate, dst_host_srv_rerror_rate,classe,posicaoOriginal
0,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,5,1.0,1.0,0.0,0.0,0.05,0.07,0.0,67,5,0.07,0.12,0.01,0.0,1.0,1.0,0.0,0.0,1,14652.0
0,1,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,9,1.0,1.0,0.0,0.0,0.03,0.06,0.0,255,2,0.01,0.08,0.0,0.0,1.0,1.0,0.0,0.0,1,25049.0
9592,2,40,8,147,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,255,2,0.01,0.41,0.9,0.0,0.0,0.0,0.0,0.0,0,10262.0
0,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,8,1.0,1.0,0.0,0.0,0.03,0.06,0.0,255,8,0.03,0.07,0.0,0.0,1.0,1.0,0.0,0.0,1,12564.0
0,1,23,8,160,193,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11,0.0,0.0,0.0,0.0,1.0,0.0,0.18,12,255,1.0,0.0,0.08,0.03,0.0,0.0,0.0,0.0,0,17527.0
0,2,12,8,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.2,255,245,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,10950.0
1,1,19,8,1248,2451,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,114,0.45,0.02,0.0,0.0,0.0,0.0,0.01,0.0,1,8134.0
0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,1,0.08,0.0,0.89,1.0,0.0,0.95,0.0,255,1,0.0,0.91,0.0,0.0,0.08,0.0,0.92,1.0,1,17115.0
0,1,49,8,972,330,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.5,1.0,1.0,233,23,0.1,0.58,0.0,0.0,0.0,0.04,0.0,0.0,0,23063.0
0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,4,0.0,0.0,1.0,1.0,0.04,0.07,0.0,255,4,0.02,0.07,0.0,0.0,0.0,0.0,1.0,1.0,1,11925.0
0,1,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1.0,1.0,0.0,0.0,1.0,0.0,0.0,49,29,0.59,0.04,0.02,0.0,0.96,0.93,0.0,0.0,1,1909.0
0,1,23,8,193,9338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0.0,0.11,0.0,0.0,1.0,0.0,0.33,77,255,1.0,0.0,0.01,0.06,0.04,0.01,0.0,0.0,0,17165.0
0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2,255,1.0,0.0,0.5,0.14,0.0,0.0,1.0,0.78,0,16464.0
0,1,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,11,1.0,1.0,0.0,0.0,0.05,0.06,0.0,255,11,0.04,0.07,0.0,0.0,1.0,1.0,0.0,0.0,1,17450.0
0,1,23,8,225,7464,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,115,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0,2467.0
