protocol_type,service,flag,src_bytes,dst_bytes,land,classe,posicaoOriginal
1.0,22.0,9.0,167.0,4352.0,0.0,0.0,70574.0
1.0,25.0,5.0,0.0,0.0,0.0,1.0,110992.0
1.0,27.0,1.0,0.0,0.0,0.0,1.0,63313.0
1.0,19.0,5.0,0.0,0.0,0.0,1.0,47004.0
1.0,27.0,5.0,0.0,0.0,0.0,1.0,2288.0
1.0,22.0,9.0,141.0,4027.0,0.0,0.0,110627.0
1.0,22.0,9.0,333.0,1292.0,0.0,0.0,86137.0
1.0,22.0,1.0,0.0,0.0,0.0,0.0,70213.0
1.0,25.0,5.0,0.0,0.0,0.0,1.0,54918.0
1.0,19.0,9.0,22.0,0.0,0.0,0.0,106224.0
1.0,54.0,9.0,106.0,2925.0,0.0,0.0,38884.0
1.0,22.0,1.0,0.0,0.0,0.0,0.0,79565.0
1.0,22.0,1.0,0.0,0.0,0.0,0.0,70342.0
1.0,27.0,5.0,0.0,0.0,0.0,1.0,57081.0
1.0,22.0,9.0,169.0,19735.0,0.0,0.0,32617.0
1.0,22.0,1.0,0.0,0.0,0.0,0.0,44235.0
1.0,18.0,2.0,0.0,0.0,0.0,1.0,94834.0
1.0,22.0,9.0,235.0,3626.0,0.0,0.0,33192.0
1.0,28.0,5.0,0.0,0.0,0.0,1.0,82395.0
1.0,22.0,1.0,0.0,0.0,0.0,0.0,83044.0
1.0,22.0,9.0,335.0,25261.0,0.0,0.0,106510.0
1.0,22.0,9.0,233.0,1600.0,0.0,0.0,59839.0
1.0,22.0,1.0,0.0,0.0,0.0,0.0,18690.0
1.0,22.0,9.0,305.0,13119.0,0.0,0.0,99390.0
1.0,22.0,9.0,211.0,1255.0,0.0,0.0,113291.0
1.0,22.0,9.0,293.0,1439.0,0.0,0.0,63663.0
1.0,32.0,5.0,0.0,0.0,0.0,1.0,6868.0
1.0,37.0,1.0,0.0,0.0,0.0,1.0,55804.0
1.0,22.0,5.0,0.0,0.0,0.0,0.0,109389.0
1.0,22.0,5.0,0.0,0.0,0.0,1.0,44790.0
1.0,22.0,9.0,227.0,3901.0,0.0,0.0,35518.0
1.0,22.0,9.0,229.0,2698.0,0.0,0.0,51690.0
1.0,28.0,5.0,0.0,0.0,0.0,1.0,23420.0
1.0,22.0,9.0,327.0,8801.0,0.0,0.0,96534.0
